"br_ouinstance","br_customer_id","br_customer_location","br_from_ship_point_id","br_to_ship_point_id","br_score","br_rank","br_created_date","br_created_by"
2,"105","10l","01","5l",1.00000002,1,2019-01-14 20:19:18,ML
2,"105","10l",td5695,"5l",1.00000002,1,2019-01-14 20:19:19,ML
2,"105",jakartahub,"10000039","5l",1.00000002,1,2019-01-14 20:19:19,ML
2,"105",jakartahub,shp_cemeng,"5l",1.00000000,1,2019-01-14 20:19:20,ML
2,"105",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:20,ML
2,"105",lynk,"01","5l",1.00000002,1,2019-01-14 20:19:20,ML
2,"125","2tgw","10000039","5l",1.00000002,1,2019-01-14 20:19:21,ML
2,"125",brooklyn,"10000039","5l",1.00000002,1,2019-01-14 20:19:21,ML
2,"125",brooklyn,"10000340","5l",1.00000002,1,2019-01-14 20:19:21,ML
2,"127","3der","01_st_1","5l",1.00000000,1,2019-01-14 20:19:22,ML
2,"127",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:22,ML
2,"135",bng,"135-1","5l",1.00000002,1,2019-01-14 20:19:23,ML
2,"135",jakartahub,"10000039","5l",1.00000002,1,2019-01-14 20:19:24,ML
2,"146","2pud","192","5l",1.00000002,1,2019-01-14 20:19:24,ML
2,"146",chn-hub,"146","5l",1.00000002,1,2019-01-14 20:19:25,ML
2,"146",jakartahub,"192","5l",1.00000002,1,2019-01-14 20:19:26,ML
2,"148","10l","01_st_1","5l",1.00000000,1,2019-01-14 20:19:26,ML
2,"172",melwh,"10000051","5l",1.00000002,1,2019-01-14 20:19:27,ML
2,"382",jakartahub,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:27,ML
2,"0000991000",chn-hub,"01","5l",1.00000000,1,2019-01-14 20:19:28,ML
2,"0000991000",jakartahub,"10000039","5l",1.00000002,1,2019-01-14 20:19:28,ML
2,"0000991000",jakartahub,shp_cilincing,"5l",1.00000000,1,2019-01-14 20:19:29,ML
2,"007","10l",ship_point_01,"5l",1.00000000,1,2019-01-14 20:19:29,ML
2,"007",adayar,sp000,test_cus,1.00000002,1,2019-01-14 20:19:30,ML
2,"007",adayar,sp000,sp000,1.00000002,2,2019-01-14 20:19:30,ML
2,"007",bayswater,shp_marunda,"5l",1.00000000,1,2019-01-14 20:19:30,ML
2,"007",tdm,sp000,"5l",1.00000002,1,2019-01-14 20:19:32,ML
2,"007",tdm,sp_2,"5l",1.00000000,1,2019-01-14 20:19:32,ML
2,"007",tdm,tdm,sp000,1.00000000,1,2019-01-14 20:19:32,ML
2,"10000340","11l","2chikil","5l",1.00000002,1,2019-01-14 20:19:32,ML
2,"10000340","3chp","10000435","5l",1.00000002,1,2019-01-14 20:19:33,ML
2,"10000340","3t","10000340","5l",1.00000000,1,2019-01-14 20:19:33,ML
2,"10000340","3t","2chikil","5l",1.00000002,1,2019-01-14 20:19:33,ML
